,Name,Description,URL,Created At,Updated At,Homepage,Size,Stars,Forks,Issues,Watchers,Language,License,Topics,Has Issues,Has Projects,Has Downloads,Has Wiki,Has Pages,Has Discussions,Is Fork,Is Archived,Is Template,Default Branch
15,Python,All Algorithms implemented in Python,https://github.com/TheAlgorithms/Python,2016-07-16T09:44:01Z,2023-09-21T11:35:46Z,https://the-algorithms.com/,13858,169000,41926,118,169000,Python,MIT,"['algorithm', 'algorithm-competitions', 'algorithms-implemented', 'algos', 'community-driven', 'education', 'hacktoberfest', 'interview', 'learn', 'practice', 'python', 'searches', 'sorting-algorithms', 'sorts']",True,True,True,True,False,True,False,False,False,master
16,CS-Notes,:books: 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计,https://github.com/CyC2018/CS-Notes,2018-02-13T14:56:24Z,2023-09-21T11:18:15Z,http://www.cyc2018.xyz,116179,167116,50543,187,167116,,,"['algorithm', 'computer-science', 'cpp', 'interview', 'java', 'leetcode', 'python', 'system-design']",True,True,True,True,True,False,False,False,False,master
17,bootstrap,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web.",https://github.com/twbs/bootstrap,2011-07-29T21:19:00Z,2023-09-21T11:18:20Z,https://getbootstrap.com,236221,165352,78906,477,165352,JavaScript,MIT,"['bootstrap', 'css', 'css-framework', 'html', 'javascript', 'sass', 'scss']",True,True,True,False,True,True,False,False,False,main
18,ohmyzsh,"🙃   A delightful community-driven (with 2,100+ contributors) framework for managing your zsh configuration. Includes 300+ optional plugins (rails, git, macOS, hub, docker, homebrew, node, php, python, etc), 140+ themes to spice up your morning, and an auto-update tool so that makes it easy to keep up with the latest updates from the community.",https://github.com/ohmyzsh/ohmyzsh,2009-08-28T18:15:37Z,2023-09-21T11:18:36Z,https://ohmyz.sh,10328,162499,25486,599,162499,Shell,MIT,"['cli', 'cli-app', 'hacktoberfest', 'oh-my-zsh', 'oh-my-zsh-plugin', 'oh-my-zsh-theme', 'ohmyzsh', 'plugin-framework', 'plugins', 'productivity', 'shell', 'terminal', 'theme', 'themes', 'zsh', 'zsh-configuration']",True,True,True,True,False,True,False,False,False,master
19,linux,Linux kernel source tree,https://github.com/torvalds/linux,2011-09-04T22:48:12Z,2023-09-21T10:57:52Z,,4695128,157823,50275,310,157823,C,NOASSERTION,[],False,True,True,False,False,False,False,False,False,master
20,flutter,Flutter makes it easy and fast to build beautiful apps for mobile and beyond,https://github.com/flutter/flutter,2015-03-06T22:54:58Z,2023-09-21T11:32:09Z,https://flutter.dev,268622,156818,26002,11792,156818,Dart,BSD-3-Clause,"['android', 'app-framework', 'cross-platform', 'dart', 'dart-platform', 'desktop', 'flutter', 'flutter-package', 'fuchsia', 'ios', 'linux-desktop', 'macos', 'material-design', 'mobile', 'mobile-development', 'skia', 'web', 'web-framework', 'windows']",True,True,True,True,False,False,False,False,False,master
21,gitignore,A collection of useful .gitignore templates,https://github.com/github/gitignore,2010-11-08T20:17:14Z,2023-09-21T11:19:09Z,,2356,151549,84060,446,151549,,CC0-1.0,"['git', 'gitignore']",False,False,True,False,False,False,False,False,False,main
22,vscode,Visual Studio Code,https://github.com/microsoft/vscode,2015-09-03T20:23:38Z,2023-09-21T11:19:17Z,https://code.visualstudio.com,848347,151340,26962,8045,151340,TypeScript,MIT,"['editor', 'electron', 'microsoft', 'typescript', 'visual-studio-code']",True,True,True,True,False,False,False,False,False,main
23,awesome-selfhosted,A list of Free Software network services and web applications which can be hosted on your own servers,https://github.com/awesome-selfhosted/awesome-selfhosted,2015-06-01T02:33:17Z,2023-09-21T11:42:16Z,https://awesome-selfhosted.net/,15866,149363,8279,0,149363,,NOASSERTION,"['awesome', 'awesome-list', 'cloud', 'free-software', 'hosting', 'privacy', 'self-hosted', 'selfhosted']",True,True,True,False,False,False,False,False,False,master
24,computer-science,:mortar_board: Path to a free self-taught education in Computer Science!,https://github.com/ossu/computer-science,2014-05-04T00:18:39Z,2023-09-21T11:43:43Z,,1224,149292,19075,17,149292,,MIT,"['awesome-list', 'computer-science', 'courses', 'curriculum']",True,True,True,True,False,False,False,False,False,master
25,Auto-GPT,An experimental open-source attempt to make GPT-4 fully autonomous.,https://github.com/Significant-Gravitas/Auto-GPT,2023-03-16T09:21:07Z,2023-09-21T11:33:50Z,https://agpt.co,69300,149034,32393,207,149034,JavaScript,MIT,"['ai', 'artificial-intelligence', 'autonomous-agents', 'gpt-4', 'openai', 'python']",True,True,True,True,False,True,False,False,False,master
26,Python-100-Days,Python - 100天从新手到大师,https://github.com/jackfrued/Python-100-Days,2018-03-01T16:05:52Z,2023-09-21T11:37:48Z,,310266,140142,49865,691,140142,Python,,[],True,True,True,True,False,False,False,False,False,master
27,the-art-of-command-line,"Master the command line, in one page",https://github.com/jlevy/the-art-of-command-line,2015-05-20T15:11:03Z,2023-09-21T11:19:22Z,,2772,139488,13769,222,139488,,,"['bash', 'documentation', 'linux', 'macos', 'unix', 'windows']",True,True,True,False,False,False,False,False,False,master
28,JavaGuide,「Java学习+面试指南」一份涵盖大部分 Java 程序员所需要掌握的核心知识。准备 Java 面试，首选 JavaGuide！,https://github.com/Snailclimb/JavaGuide,2018-05-07T13:27:00Z,2023-09-21T11:32:14Z,https://javaguide.cn,162806,137294,44828,60,137294,Java,Apache-2.0,"['algorithms', 'interview', 'java', 'jvm', 'mysql', 'redis', 'spring', 'system', 'system-design', 'zookeeper']",True,True,True,True,False,True,False,False,False,main
29,javascript,JavaScript Style Guide,https://github.com/airbnb/javascript,2012-11-01T23:13:50Z,2023-09-21T11:16:30Z,,3619,136485,26053,160,136485,JavaScript,MIT,"['arrow-functions', 'es2015', 'es2016', 'es2017', 'es2018', 'es6', 'eslint', 'javascript', 'linting', 'naming-conventions', 'style-guide', 'style-linter', 'styleguide', 'tc39']",True,False,True,True,True,False,False,False,False,master
